,duration,erotism,rhythm,filmtv_id,humor,effort,year,critics_vote,public_vote,total_votes,tension,avg_vote
0,76,0,3,2,3,0,1982,8,7,21,0,7.7
1,98,0,2,3,0,0,1991,6,7,4,2,6.5
2,91,0,2,17,1,1,1976,6,5,9,0,5.6
3,95,2,2,18,2,0,1982,8,6,18,1,7
4,85,0,1,20,3,1,1942,5.33,7,14,0,5.9
5,93,1,2,22,0,3,1967,7.75,8,119,3,7.7
6,109,1,2,23,0,0,1989,6,6,18,2,6
7,80,0,2,24,1,0,1966,3,8,4,1,5.5
8,115,1,2,26,0,1,1986,7.64,7,85,2,7.4
9,101,0,2,30,0,0,1968,4.5,5,3,1,4.8
10,96,1,3,32,1,2,1990,4.5,6,103,3,5.1
11,111,2,3,34,1,0,1990,4,7,18,0,5.3
12,62,0,2,36,0,1,1942,5,6,25,3,5.3
13,100,1,2,37,2,0,1975,5.78,6,48,0,5.9
14,105,0,3,38,0,2,1974,5.67,7,24,2,6.2
15,99,0,2,45,0,1,1985,4,6,10,1,4.8
16,113,0,3,47,2,1,1986,6,6,29,1,5.9
17,110,0,3,49,0,3,1964,8.29,8,68,3,8.2
18,120,2,3,51,4,2,1959,9.38,9,508,2,9.1
19,94,1,2,53,1,0,1968,4,3,7,1,3.7
20,95,1,3,54,1,1,1947,8,7,18,3,7.7
21,100,0,2,55,3,1,1986,7,6,17,0,6.5
22,100,0,2,58,2,3,1989,7.05,7,176,1,7
23,102,0,2,59,3,0,1989,8,6,3,1,7
24,98,1,2,61,0,1,1966,7,7,25,3,6.9
25,100,1,2,63,0,0,1975,5.14,6,26,2,5.4
26,94,0,3,67,0,1,1973,8,8,5,3,7.8
27,90,0,2,68,2,0,1945,6,6,28,0,6
28,93,0,2,69,2,1,1946,5.17,6,27,0,5.6
29,109,0,2,71,1,1,1979,6,6,12,3,6.2
30,114,1,1,73,2,0,1991,3,3,78,0,3.2
31,130,1,2,74,1,1,1977,4.71,6,28,2,5.2
32,110,0,1,77,0,1,1940,6,7,12,1,6.3
33,100,1,2,78,1,0,1986,6.8,6,29,2,6.3
